Intent no,Intent Name,Bangla Questions,Banglish Question 1,Bangla Answer 1,Alternative Bangla Answer 2
,,এইটা কেমন স্কুল?,Eita kemon school? ,"স্যার, আমার ই-স্কুল একটি অনলাইন লার্নিং প্লাটফর্ম",
,,,amar iSchool e ki hoi? ,আমার ই-স্কুল এমন একটি উদ্যোগ লক্ষ্য হলো শিক্ষার্থীদের মাঝে উন্নত এবং কার্যকর শিক্ষা পৌঁছে দেওয়া। আমরা এমন একটি শিক্ষাদান-সংক্রান্ত সংস্থা যারা অত্যন্ত যোগ্য শিক্ষকদের দ্বারা তৈরিকৃত লাইভ ভিডিও প্রদানের মাধ্যমে শিক্ষার্থীদের জন্য গুণগত মান-সম্পন্ন শিক্ষাদানের ব্যবস্থা করে থাকি। ২০১৯ সাল থেকে এই পর্যন্ত আমরা সারা বাংলাদেশে ৫০টি বিশ্ববিদ্যালয়ের শিক্ষার্থীদের সাথে সম্পৃক্ত হতে পেরেছি।,
,,আমি একটু বিস্তারিত জানতে চাচ্ছি  আপনাদের প্লাটফর্ম সম্পর্কে।,Ami ektu bistarito jante chacchi apnader platform shomporke, আমাদের সম্পর্কে আরো বিস্তারিত জানতে আমাদের ওয়েবসাইট ভিসিট করুন।,
,,আপনাদের এই পেজ/সাইট/প্ল্যাটফর্ম/ওয়েবসাইট টি সম্পর্কে জানতে চাই।,Apnader ei page/site/platform/website ti shomporke jante chai.,"জ্বি স্যার/ম্যাম বলুন, কি তথ্য দিয়ে আপনাকে সাহায্য করতে পারি?",
,,এটি কি ধরনের প্রতিষ্ঠান?,Eti ki dhoroner protisthan?,আমার ই-স্কুল একটি অনলাইন লার্নিং প্লাটফর্ম। আমাদের সার্ভিস নিয়ে আরো বিস্তারিত জানতে আমাদের ওয়েবসাইট ভিসিট করুন।,
,,আপনারা কি করেন?,Apnara ki koren? ,আমার ই-স্কুল একটি অনলাইন লার্নিং প্লাটফর্ম। আমাদের সার্ভিস নিয়ে আরো বিস্তারিত জানতে আমাদের ওয়েবসাইট ভিসিট করুন।,
,,,,,
3,types of services,আপনারা কী টাইপ সার্ভিস দিয়ে থাকেন?,Apnara ki type service diye thaken?,আমরা মুলত XYZ বিষয়ে সার্ভিস দিয়ে থাকি। আমাদের সার্ভিস নিয়ে আরো বিস্তারিত জানতে আমাদের ওয়েবসাইট ভিসিট করুন।,
,,আপনাদের কি কি প্রোডাক্ট/সার্ভিস আছে?,Apnader ki ki product ba service ache?,স্যার/ম্যাম আমাদের x সংখ্যক ক্যাটাগরিতে x সংখ্যক প্রোডাক্ট/সার্ভিস আছে। এগুলো সম্পর্কে বিস্তারিত জানতে আমাদের ওয়েবসাইট ভিজিট করুন কিংবা চাইলে আমাদের কাস্টমার কেয়ার প্রতিনিধির সাথেও কথা বলতে পারেন।,
,,আপনারা কি নিয়ে কাজ করেন?,Apnara ki niye kaj koren? ,"আমাদের প্লাটফর্ম টি “Z” বিষয়ক কাজ নিয়ে এগুচ্ছে এবং আমরা আপনাকে এই বিষয়ক সকল কিছু তে সাহায্য করতে পারবো।
",
,,,Apnader service somporke jante chassi,আমরা মুলত XYZ বিষয়ে সার্ভিস দিয়ে থাকি। আমাদের সার্ভিস নিয়ে আরো বিস্তারিত জানতে আমাদের ওয়েবসাইট ভিসিট করুন।,
,,আমাকে আপনাদের সেবা সম্পর্কে বলুন।,Amake apnader sheba shomporke bolun,আমরা মুলত XYZ বিষয়ে সার্ভিস দিয়ে থাকি। আমাদের সার্ভিস নিয়ে আরো বিস্তারিত জানতে আমাদের ওয়েবসাইট ভিসিট করুন।,
,,"ভাই, আপনাদের কাজ কি?","Vai, apnader kaj ki? ",আমার ই-স্কুল একটি অনলাইন লার্নিং প্লাটফর্ম। আমাদের সার্ভিস নিয়ে আরো বিস্তারিত জানতে আমাদের ওয়েবসাইট ভিসিট করুন।,
,,আপনারা কি নিয়ে কাজ করছেন?,Apnara ki niye kaj korchen? ,আমরা মুলত XYZ বিষয়ে সার্ভিস দিয়ে থাকি। আমাদের সার্ভিস নিয়ে আরো বিস্তারিত জানতে আমাদের ওয়েবসাইট ভিসিট করুন।,
,,আপনাদের প্ল্যাটফর্ম থেকে কি সুবিধা পেতে পারি?,Apnader platform theke ki shubidha pete pari ?,"আমাদের প্লাটফর্ম টি “Z” বিষয়ক কাজ নিয়ে এগুচ্ছে এবং আমরা আপনাকে এই বিষয়ক সকল কিছু তে সাহায্য করতে পারবো।
",
,,আপনারা কি কি জিনিস নিয়ে কাজ করেন?,Apnara ki ki jinish niye kaj koren?,আমরা মুলত XYZ বিষয়ে সার্ভিস দিয়ে থাকি। আমাদের সার্ভিস নিয়ে আরো বিস্তারিত জানতে আমাদের ওয়েবসাইট ভিসিট করুন।,
,,,,,
4,foreign company or not,আপনারা কি বাংলাদেশি?,Apnara ki Bangladeshi? ,জ্বী স্যার / ম্যাডাম। আমরা একটি বাংলাদেশি শিক্ষা সংস্থা।,
,,,,,
5,page moderator,আপনাদের পেজ কে চালায়,Apnader page ke chalay? ,পেইজ পরিচালনার জন্য আমার ই-স্কুল থেকে এডমিন নিয়োজিত রয়েছে।,
,,,,,
6,pioneer alpha,পায়োনিয়ার আলফা কি?,Pioneer Alpha ki? ,"পাইওনিয়ার আলফা লিমিটেড বর্তমান সময়ের একটি উদীয়মান গবেষণা এবং উন্নয়ন বিষয়ক কম্পিউটার সফটওয়্যার প্রতিষ্ঠান।
",
,,,,,
7,contact process,আপনাদের সাথে যোগাযোগের মাধ্যম কি?,Apnader sathe jogajog er maddhom ki? ,আমাদের সামাজিক যোগাযোগ মাধ্যম গুলোতে বার্তা প্রধান অথবা ইমেইলের মাধ্যমে যোগাযোগ করতে পারেন।,
,,আপনাদের কোনো অফিসিয়াল এর সাথে কিভাবে কন্টাক্ট করবো?,Apnader kono official er sathe kibhabe contact korbo?,"আমাদের ফেসবুক পেজ বা ওয়েবসাইট ভিজিট করলে ডিটেইল কন্ট্যাক্ট  ইনফরমেশন পেয়ে যাবেন, সেখান থেকে আপনি ডাইরেক্টলি কন্ট্যাক্ট করতে পারেন।",
,,,,,
8,course instructor,স্কুল বা কলেজের শিক্ষকরা কি পড়ান?,School ba College er shikkhok ra ki poran?,উপযুক্ত এবং মান-সম্পন্ন শিক্ষা প্রদান করতে পারবেন এরকম যে কেউ আমাদের এখানে সম্পৃক্ত হতে পারবেন।,
,,আপনাদের কোর্স কারা করায়?,Apnader course kara koray? ,আমাদের কোর্স গুলোর দায়িত্বে রয়েছেন দক্ষ ওর মানসম্মত ইন্সট্রাক্টর।,
,,আপনাদের কোর্স কে করায়?,Apnader course ke koray?,আমাদের কোর্স গুলোর দায়িত্বে রয়েছেন দক্ষ ওর মানসম্মত ইন্সট্রাক্টর।,
,,,,,
9,age requirement,স্কুলের বাচ্চারা করতে পারবে?,School er bacchara korte parbe? ,মূলত আমাদের কোর্স গুলো বিশ্ববিদ্যালয়ে পড়ছেন এমন যে কারো জন্য উপযুক্ত।,
,,কোন বয়স সীমা আছে?,Kono boyosh shima ache?,মূলত বিশ্ববিদ্যালয়ের শিক্ষার্থীদের জন্য আমাদের কোর্স গুলো বানানো। তবে যেকোনো আগ্রহী ব্যক্তি আমাদের ওয়েবসাইট থেকে কোর্স করতে পারবেন।,
,,আপনাাদের কোর্সগুলো কারা নিতে পারবে?,Apnader course kara nite parbe? ,উপযুক্ত এবং মান-সম্পন্ন শিক্ষা প্রদান করতে পারবেন এরকম যে কেউ আমাদের এখানে সম্পৃক্ত হতে পারবেন।,
,,,,,
,,,,,
11,Class procedure,কিভাবে ক্লাস করতে পারি?,Kivabe class korte pari? ,আমাদের ওয়েবসাইটে ভিসিট করে আপনার পছন্দ অনুযায়ী কোর্স টি নির্বাচন করুন। এরপর সাইন ইন করার মাধ্যমে আপনি অন্যান্য নির্দেশনাবলী পেয়ে যাবেন।,
,,,,,
12,App Service,আপনাদের অ্যাপ আছে?,Apnader app ache? ,খুব শীঘ্রই আমরা অ্যাপ সার্ভিস চালু করতে যাচ্ছি।,
,,,,,
13,free course,আপনাদের কোর্সগুলো কি পেমেন্ট ভিত্তিক?,Apnader course gulo ki payment vittik? ,আমাদের কোর্স গুলো এককালীন পেমেন্ট ভিত্তিক।,
,,আপনাদের কি কোন ফ্রি কোর্স আছে?,Apnader ki kono free course ache? ,জ্বি আছে।,দুঃখিত স্যার/ম্যাম আপাতত আমাদের কোনো ফ্রি কোর্স নেই।
,,,,,
14,course acccess duration,কোর্স গুলোতে কতদিন পর্যন্ত এক্সেস থাকে?,Course gulote kotodin porjonto access thake? ,লাইফটাইম এক্সেস পাবেন,
,,,,,
15,course details,আপনাদের কি সব কোর্স সিএসইর?,Apnader ki shob course CSE er? ,আমাদের বিভিন্ন ক্যাটাগরির কোর্স রয়েছে। বিস্তারিত জানতে আমার ই-স্কুল এর ওয়েবসাইটে ভিজিট করুন।,
,,আপনাদের কোর্স সম্পর্কে জানার ছিল। ,Apnader course shomporke janar chilo. ,,
,,,,,
16,office address,আপনাদের অফিস কোথায়?,Apnader office kothay? ,আমরা অনলাইন সেবা দিয়ে থাকি।,
,,আপনাদের কি কোনো অফিস আছে?,Apnader ki kono office ache? ,জ্বি আছে।,
,,,Apnader office er adress ki?,********,
,,,Apnader thikanata ektu din plz,*******,
,,আপনাদের ঠিকানাটা প্রয়োজন,,,
,,,Ami apnader location jante chai.,*********,
,,আপনারা সবকিছু কি অনলাইনে করেন?,Apnara shob kichu ki online e koren? ,জ্বি স্যার/ম্যাম। ,
,,,,,
17,website,আপনাদের কোনো ওয়েবসাইট আছে?,Apnader ki kono website ache?,আমার ই-স্কুলের অফিসিয়াল ওয়েবসাইট - https://www.amarischool.com/,
,,আপনাদের অফিসিয়াল ওয়েবসাইট আছে?,Apnader official website ache?,আমার ই-স্কুলের অফিসিয়াল ওয়েবসাইট - https://www.amarischool.com/,
,,আমার কিছু প্রশ্ন আছে এই ওয়েবপেজ টির বিষয়ে। কেউ কি সাহায্য করতে পারবেন?,Amar kichu proshno ache ei website tir bishoye. Keu ki sahajjo korte parben? ,,
,,,,,
,,,,,
18,mail address,আপনাদের ইমেইল টা দেন,Apnader Email ta den,daackoo.daackoo@gmail.com,
,,ইমেইল টা দেয়া যাবে?,Email ta deya jabe? ,daackoo.daackoo@gmail.com,
,,,,,
19,year of starting,প্রতিষ্ঠানটি কবে থেকে কাজ করে যাচ্ছে?,Protishthanti kobe theke kaj kore jacche?,২০১৭ সাল থেকে,
,,আপনারা কবে থেকে কাজ করছেন?,Apnara kobe theke kaj korchen? ,২০১৭ সাল থেকে,
,,,,,
20,ceo,আপনাদের CEO কে?,Apnader CEO ke? ,মোঃ আব্দুল্লাহ আল নাসিম,
,,,,,
21,mother company,আপনাদের কি কোনো মাদার কোম্পানি আছে?,Apnader ki kono mother company ache? ,জ্বী স্যার/ম্যাডাম। পাইয়োনিয়ার আলফা,
,,,,,
22,introduction of chatbot,আপনে কে?,Apne ke?,আমি আপনার সাহায্যকারী।,
,,আপনার ব্যাপারে আমাকে কিছু বলুন?,Apnar bepare amake kichu bolun,আমি আপনার সকল প্রশ্নের উত্তর দেওয়ার জন্য সর্বদা নিয়োজিত থাকি। ,
,,আপনার পরিচয় কি?,Apnar porichoy ki?,আপনার জন্যই আমি নিয়োজিত। বলুন কিভাবে সাহায্য করতে পারি?,
,,আপনি কি করেন?,Apni ki koren?,আমি আপনার ভার্চুয়াল অ্যাসিস্ট্যান্ট। আমি আপনাকে বিভিন্ন তথ্য দিয়ে সাহায্য করতে পারি। আপনার প্রশ্নটি করুন।,
,,আপনার সম্পর্কে জানতে চাই,Apnar shomporke jante chai,আমি আপনার ভার্চুয়াল অ্যাসিস্ট্যান্ট। আমি আপনাকে বিভিন্ন তথ্য দিয়ে সাহায্য করতে পারি। আপনার প্রশ্নটি করুন।,
,,,,,
,,,,,
23 (22),,আপনি কি একটা রোবট? ,Apni ki ekta robot?, আমি রোবট কিন্তু ভালো রোবট। আপনাকে কিভাবে সাহায্য করতে পারি?,
,,আপনি কি মানুষ?,Apni ki manush? ,"আমি একটি রোবট। কিন্তু আপনি চাইলে আমি আপনাকে সাহায্য করতে পারি। প্রশ্ন করুন। 
",
,,,,,
24,process of help,আপনি কিভাবে আমাকে সাহায্য করতে পারবেন?,Apni kivabe amake sahajjo korte parben?,আপনার সকল জিজ্ঞাসার উত্তর দেওয়ার চেষ্টা করে আমি আপনাকে সাহায্য করতে পারি।,
,,আপনি কি করতে পারেন আমার জন্য?,Apni ki korte paren amar jonno?,আমি আপনাকে প্রশ্নের উত্তর দিয়ে সাহায্য করতে পারি। ,
,,তুমি কি নিয়ে ডিসকাস করতে চাও?,Tumi ki discuss korte chao?,আপনি যেটা জানতে চান তা নিয়ে কথা বলতে পারি।,
,,এখানে তোমার প্রয়োজনীয়তা কি?,Ekhane tomar proyojonita ki?,"আমি প্রয়োজনীয় তথ্য দিয়ে সহায়তা করে থাকি।
",
,,,,,
25,chatbot location,আপনি কোথায় থাকেন?,Apni kothay thaken?,আমি আপনার মতো সকলের প্রশ্নের উত্তর দিতে চ্যাটবক্স অপেক্ষা করি।,
,,,,,
26,ans of qus?,আপনি কি আমার প্রশ্নের উত্তর দিতে পারবেন?,Apni ki amar proshner uttor dite parben?,জ্বী আমি প্রতিনিয়ত শিখছি। প্রশ্ন করুন। আশা করছি আমি উত্তর দিতে পারবো।,
,,,,,
27,your name,আপনার নাম কি?,Apnar nam ki?,আমার কোনো নাম নেই। তবে আপনি চাইলে আমাকে একটি সুন্দর নাম দিতে পারেন।,
,,,,,
28,know everything?,আপনি কি সব জানেন?,Apni ki shob janen?,আমি প্রতিনিয়ত শিখছি ও জানছি।,
,,,,,
29,know me?,আপনি কি আমাকে চিনেন?,Apni ki amake chinen?,না। তবে আপনি পরিচয় দিলে আমি অবশ্যই আপনাকে মনে রাখব।,
,,,,,
30,report problem,বাগ রিপোর্ট করতে চাই।,Bug report korte chai,সমস্যা জানিয়ে ইমেইল করুন। আমরা আপনার সমস্যা সমাধানের চেষ্টা করব।,
,,"আমি কিছু প্রবলেম ফেস করছি
",Ami kichu problem face korchi,সমস্যা জানিয়ে ইমেইল করুন। আমরা আপনার সমস্যা সমাধানের চেষ্টা করব।,
,,"আমাদের কোনো সমস্যা তে আপনারা কিভাবে কাজ করবেন?
",Amader kono shomossha te apnara kivabe kaj korben?,সমস্যাটি আমাদের অবগত করুন। আমরা অবশ্যই আপনার সমস্যা সমাধানের চেষ্টা করব।,
,,,,,
31,website 2,আচ্ছা এটা কিসের ওয়েবসাইট?,Accha eta kisher website? ,আমার ই-স্কুলের ওয়েবসাইট।,
,,,,,
32,creator,আপনাকে কে তৈরি করেছে?,Apnake ke toiri koreche?,পাইয়োনিয়ার আলফা টিম।,
,,আপনাকে কে বানিয়েছে? ,Apnake ke baniyeche? ,পাইয়োনিয়ার আলফা টিম।,
,,,,,
33,want course,আমি কোর্স করতে চাই,Ami course korte chai,আমার ই-স্কুলের ওয়েবসাইটে কোর্স সংক্রান্ত সকল তথ্য পাবেন।,
,,আমি আমার ই স্কুলে X বিষয়ে একটি কোর্স করতে চাই।,,,
,,,,,
34,process of teaching,আপনারা কিভাবে পড়ান?,Apnara kivabe poran? ,সুযোগ্য শিক্ষকদের মাধ্যমে শিক্ষা বিষয়ক বিভিন্ন লাইভ ভিডিও তৈরি এবং প্রদানের মাধ্যমে শিক্ষার্থীদের মাঝে গুণগত ও কার্যকর শিক্ষাদান করে থাকি।,
,,কিভাবে পড়ান?,Kivabe poran?,অনলাইন কোর্স অফার করে থাকি।,
,,,,,
35,youth,আপনারা কাদের নিয়ে কাজ করতে চান?,Apnara kader niye kaj korte chan?,আমরা আমাদের যুব সমাজ নিয়ে এগিয়ে যেতে চাই।,
,,,,,
36,appriciation,আপনারা ভাল কাজ করছেন অনেক।,Apnara valo kaj korchen onek.,ধন্যবাদ।,
,,এগিয়ে যান।,Egiye jan.,ধন্যবাদ। পাশে থাকুন।,
,,আপনাদের পেজটি দেখে ভাল লাগল।,Apnader page ti dekhe valo laglo.,ধন্যবাদ। পাশে থাকুন।,
,,,,,
,,,,,
38,update ,আপনাদের পেজ/সাইট সম্পর্কে নতুন ইনফরমেশন কিভাবে জানতে পারবো?,Apnader page/site shomporke notun information kivabe jante parbo?,"আমাদের পেজটি লাইক দিয়ে রাখুন, আমরা নিয়মিত আপনাকে তথ্য পাঠাতে থাকব।",
,,,,,
39,contact info,কন্ট্যাক্ট ইনফো প্লিজ,Contact info please ,আমাদের কল করুন : ০১********* নম্বরে কিনবা মেইল করুন: ******@****.com এ ,
,,,,,
40,best course,আপনাদের কোন কোর্সটি সবচেয়ে ভাল?,Apnader kon course ta sob theke valo?,আমাদের সবগুলো কোর্সই বেশ ভাল।,
,,,,,
41,best product,আপনাদের কোন প্রোডাক্টই সবচেয়ে ভাল?,"Apnader kon product ta sobcheye valo?
",আমাদের সবগুলো সেবা / প্রোডাক্টই বেশ ভাল।,
,,আপনাদের সেবার মান কেমন?,Apnader shebar man kemon?,"স্যার/ম্যাম, আমরা আমাদের সেবার মানের উপর নির্দ্বিধায় আস্থা রাখতে পারেন।",
,,,,,
42,want to help,আমরা আপনাকে কিভাবে সাহায্য করতে পারি?,Amra apnake kivabe sahajjo korte pari?,আমাদের সেবা গ্রহণ করে।,
,,,,,
43,change ,পরিবর্তন কিভাবে মোকাবেলা করেন?,Poriborton kivabe mokabila koren?,আমরা সময়ের সাথে সাথে পরিবর্তনকে গ্রহণ করি,
,,,,,
44,birodh,আপনারা কিভাবে বিরোধ মোকাবিলা করেন?,Apnara kivabe birodh mokabela koren?,আমরা সব দিক বিবেচনা করে সিদ্ধান্ত নেই।,
,,,,,
45,your age,আপনার বয়স কত?,Apnar boyosh koto?,আমি এখনো শিশু। তাই আমি শিখছি প্রতিনিয়ত।,
,,,,,
46,language,আপনি কি ইংলিশে কথা বলতে পারেন?,Apni ki English e kotha bolte paren?,আমি বাংলাকে ভালোবাসি। তাই আমি বাংলায় কথা বলি।,
,,,,,
47,course list,কোর্স লিস্ট কোথায় পাব?,Course list kothay pabo? ,আমার ই-স্কুল এর ওয়েবসাইটে ( https://www.amarischool.com/ ) ভিজিট করুন।,
